name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Brian Oliván,Left-Back,28,2.5,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,RCD Espanyol Barcelona,0,False
Mathias Pereira Lage,Right Midfield,25,2.5,France,Ligue 1,Angers SCO,France,Ligue 1,Stade Brestois 29,0,False
Gédéon Kalulu,Right-Back,24,2.5,France,Ligue 1,AC Ajaccio,France,Ligue 1,FC Lorient,0,False
José Esquivel,Defensive Midfield,24,2.5,Mexico,Liga MX Apertura,FC Juárez,Mexico,Liga MX Apertura,Club Necaxa,0,False
Daniel Bessa,Central Midfield,29,2.5,Italy,Serie A,Hellas Verona,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,0,False
Rubén Peña,Right-Back,30,2.5,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,0,False
Idekel Domínguez,Right-Back,22,2.5,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Atlas Guadalajara,0,False
Vital Nsimba,Left-Back,29,2.5,France,Ligue 1,Clermont Foot 63,France,Ligue 2,FC Girondins Bordeaux,0,False
Tiago Dantas,Central Midfield,21,2.5,Portugal,Liga Portugal,SL Benfica,Greece,Super League 1,PAOK Thessaloniki,0,True
Edison Flores,Left Winger,28,2.5,United States,MLS,D.C. United,Mexico,Liga MX Apertura,Atlas Guadalajara,0,False
Andy Rinomhota,Central Midfield,25,2.5,England,Championship,Reading FC,Wales,Championship,Cardiff City,0,False
Marcos Guilherme,Left Winger,26,2.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,São Paulo Futebol Clube,0,False
Víctor Gómez,Right-Back,22,2.5,Spain,LaLiga,RCD Espanyol Barcelona,Portugal,Liga Portugal,SC Braga,0,True
Bas Dost,Centre-Forward,33,2.5,Belgium,Jupiler Pro League,Club Brugge KV,Netherlands,Eredivisie,FC Utrecht,0,False
Aitor Fernández,Goalkeeper,31,2.5,Spain,LaLiga2,Levante UD,Spain,LaLiga,CA Osasuna,0,False
Ryan Nyambe,Right-Back,24,2.5,England,Championship,Blackburn Rovers,England,Championship,Wigan Athletic,0,False
Tommy Doyle,Central Midfield,20,2.5,England,Premier League 2,Manchester City U21,England,Championship,Sheffield United,0,True
Mauro Manotas,Centre-Forward,26,2.5,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Atlas Guadalajara,0,False
Jérémy Gélin,Centre-Back,25,2.5,France,Ligue 1,Stade Rennais FC,France,Ligue 2,Amiens SC,0,False
Iñigo Córdoba,Left Winger,25,2.5,Spain,LaLiga,Athletic Bilbao,Netherlands,Eredivisie,Fortuna Sittard,0,False
Vladimir Loroña,Right-Back,23,2.5,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Tigres UANL,0,False
